day_offset,range,column,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,leaf_angle_mean,per_cultivar_gboost,canopy_height,abserror_per_cultivar_gboost,cultivar,avg_error_per_cultivar_gboost
36,28,10,4.37281389709,2.4375103651099996,2.02570736853,0.36918004230400003,131.717253988704,93.0,41.63145590183225,PI273465,16.09436395396621
38,28,10,4.41460201636,1.92763038458,2.43149160801,0.327671117432,142.13839894710404,109.0,30.40220086890279,PI273465,16.09436395396621
39,15,13,4.306550230330002,1.8433652072799998,2.48190224492,0.325196163906,142.78972050700398,110.0,29.80883682454907,PI273465,16.09436395396621
40,28,10,4.51667410029,2.14468985442,2.25606240275,0.34253467416999994,147.348971426304,117.0,25.939291817353837,PI273465,16.09436395396621
45,15,13,3.17859444547,1.71776454301,2.1796693410900003,0.37030573113799997,168.842582903004,150.0,12.561721935336,PI273465,16.09436395396621
116,28,10,1.64019959389,1.3721432260100002,1.7425990070400004,0.463249468019,314.087290760704,373.0,15.794292021258986,PI273465,16.09436395396621
120,28,10,1.6771778013999998,1.52071270347,1.6084884722200001,0.483435754974,317.343898560204,378.0,16.046587682485708,PI273465,16.09436395396621
121,28,10,1.50133628796,1.43027837836,1.58464639792,0.489558624755,316.04125544040403,376.0,15.946474616913822,PI273465,16.09436395396621
56,28,10,2.8703512397799997,1.7625430114099998,2.00197873915,0.398543935173,233.32341733310398,249.0,6.295816332086757,PI273465,16.09436395396621
71,15,13,2.8845250035000003,1.7949657495500002,1.9527042882299999,0.41332017339,253.514385690004,280.0,9.459147967855717,PI273465,16.09436395396621
65,28,10,3.23764623668,1.8630457562400002,2.0353876140900002,0.392556859887,228.112844853904,241.0,5.347367280537762,PI273465,16.09436395396621
66,28,10,3.62243184436,2.02498696017,2.0548965557099996,0.380260162602,226.158880174204,238.0,4.975260431006722,PI273465,16.09436395396621
59,28,10,2.8700764472799998,1.7191984795500002,2.0404805798299996,0.39527109836499996,205.316590257404,206.0,0.331752302231074,PI273465,16.09436395396621
46,15,13,3.2203975618,1.79239059053,2.1182083284,0.377357967605,175.355798502004,160.0,9.597374063752504,PI273465,16.09436395396621
47,28,10,3.4202816035500003,1.7333729401499998,2.25808350991,0.367739984883,185.776943460404,176.0,5.555081511593181,PI273465,16.09436395396621
55,28,10,2.87408766635,1.83075572396,1.9349998892500002,0.411510308385,211.829805856404,216.0,1.930645436850003,PI273465,16.09436395396621
57,28,10,2.72510591686,1.7468352257799995,1.95323236285,0.40647308742,201.408660898004,200.0,0.7043304490020006,PI273465,16.09436395396621
58,28,10,3.1487989328400015,1.84945832931,2.03418548082,0.388412363762,237.88266825240402,256.0,7.077082713904681,PI273465,16.09436395396621
60,28,10,2.60493172685,1.6010113016499998,2.04009296553,0.402033334547,235.92870357270402,253.0,6.747547994978647,PI273465,16.09436395396621
61,15,13,2.8743045459099994,1.7363735796000002,2.01912858854,0.395619262734,217.040378335604,224.0,3.1069739573196413,PI273465,16.09436395396621
54,28,10,3.4572742023000003,1.84091730162,2.16094286285,0.3758892835,189.68487281980399,182.0,4.222457593298893,PI273465,16.09436395396621
68,28,10,3.49698981546,1.9450971109,2.0750884082,0.37830043102399996,236.580025132604,254.0,6.8582578218094525,PI273465,16.09436395396621
15,41,9,3.21000252749,2.05520596448,1.87653075287,0.4179365079370001,83.25489878967811,19.0,338.1836778404111,PI273969,37.13214166807512
19,41,9,2.6675256102500002,1.97554919662,1.74146637225,0.442818064259,85.86018502927814,23.0,273.3051523012093,PI273969,37.13214166807512
24,41,9,3.05160151051,2.01122598685,1.8533313561000002,0.42121321451300003,96.93265154757812,40.0,142.3316288689453,PI273969,37.13214166807512
32,41,9,3.44555559737,2.08958163761,1.94574421446,0.396415539302,138.6172313811781,104.0,33.28579940497894,PI273969,37.13214166807512
33,41,9,3.8126331878099995,2.2598364217599998,1.94488106643,0.395555555556,126.89344330297813,86.0,47.55051546857921,PI273969,37.13214166807512
34,41,9,3.36758132246,2.0575007236,1.9446915395900002,0.39896089844000004,128.84740798267813,89.0,44.77236851986307,PI273969,37.13214166807512
35,25,12,3.60807295486,2.14514081653,1.97156679238,0.38992215666999996,134.70930202177814,98.0,37.45847145079402,PI273969,37.13214166807512
36,25,12,3.5146195422099997,2.03523040411,2.0189570052400003,0.38367288845499997,137.96590982127813,103.0,33.94748526337683,PI273969,37.13214166807512
38,25,12,3.86451602046,1.8258926551499999,2.33964564718,0.345727978846,150.34101945937812,122.0,23.230343819162393,PI273969,37.13214166807512
39,25,12,5.4638810727300005,2.1882948199700003,2.5077533878000002,0.30523434827199997,152.94630569897808,126.0,21.38595690395086,PI273969,37.13214166807512
40,25,12,5.46865380553,2.20276661512,2.4939788567299996,0.303638583639,158.15687817817812,134.0,18.027521028491133,PI273969,37.13214166807512
45,25,12,3.1690467700700005,1.71665994549,2.18112228288,0.37272374619000004,178.99916809497816,166.0,7.8308241536013,PI273969,37.13214166807512
117,25,12,2.41931708204,1.6879948900600001,1.84952243382,0.4318654161860001,293.6317626373782,342.0,14.142759462754915,PI273969,37.13214166807512
56,41,9,3.8365899478600003,2.1264780803,2.03180027993,0.387644444444,220.68374792857813,230.0,4.050544378879074,PI273969,37.13214166807512
71,41,9,2.4790332411000002,1.79525694768,1.7856084953799998,0.438305431267,259.11171996267814,289.0,10.341965410838016,PI273969,37.13214166807512
65,41,9,2.9557087279500003,1.90503232135,1.8759280865299999,0.423734529273,241.5260378453781,262.0,7.814489371993086,PI273969,37.13214166807512
101,41,9,1.3785626601299998,1.2309002044,1.7809671782599998,0.468050244758,294.28308419727813,343.0,14.20318244977314,PI273969,37.13214166807512
66,41,9,2.46123544748,1.74102416801,1.7763244261500002,0.450893842249,244.13132408497813,266.0,8.221306734970627,PI273969,37.13214166807512
59,41,9,3.4702440991000003,2.0617219916900003,1.97535117371,0.392849370434,226.5456419676781,239.0,5.21102846540665,PI273969,37.13214166807512
46,25,12,3.2217466393700005,1.73451638151,2.18628655743,0.370095401552,184.20974057417814,174.0,5.867666996654104,PI273969,37.13214166807512
47,41,9,3.2078416679500004,1.94944698387,1.95978423995,0.400050831605,190.72295617317812,184.0,3.6537805289011516,PI273969,37.13214166807512
55,25,12,3.89381543508,1.7819530509400001,2.40056661349,0.34272351371699994,216.77581856917814,224.0,3.225080995902615,PI273969,37.13214166807512
57,25,12,3.8663260476699994,1.7735821651299999,2.4081305095,0.344032958271,221.3350694884781,231.0,4.183952602390434,PI273969,37.13214166807512
58,41,9,3.4992138670599995,2.0587244741,1.9729762944099998,0.399465541491,223.94035572807812,235.0,4.7062316050731425,PI273969,37.13214166807512
60,25,12,3.38326856948,1.6217944804700002,2.38653050835,0.35785492393299995,231.10489288697812,246.0,6.0549215906593,PI273969,37.13214166807512
61,25,12,2.9533073689599996,1.9107938982599997,1.88800713898,0.416050467966,233.7101791265781,250.0,6.515928349368755,PI273969,37.13214166807512
106,41,9,1.63331911384,1.3681349943799999,1.7465372766099998,0.461877463275,294.9344057571781,344.0,14.263254140355196,PI273969,37.13214166807512
107,41,9,1.1815983271500001,1.27358022798,1.53225692005,0.511013251784,295.5857273170781,345.0,14.322977589252718,PI273969,37.13214166807512
108,41,9,1.4152475962600002,1.3072243139,1.67653445907,0.47910166940300003,295.5857273170781,345.0,14.322977589252718,PI273969,37.13214166807512
110,41,9,1.5953788264500002,1.4151370746599998,1.67200648634,0.47413654093400004,298.84233511657817,350.0,14.616475680977667,PI273969,37.13214166807512
