canopy_height,cultivar,season,range,column,leaf_angle_mean,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,date,day_offset,single_xgboost,abserror_single_xgboost,single_dtree,abserror_single_dtree,per_cultivar_gboost,abserror_per_cultivar_gboost
25.0,PI510757,4,40,12,0.413273925555,3.35068192046,2.13270667127,1.8820714901,2017-05-16 12:00:00,15,23.893835827177725,4.424656691289101,20.68421052631579,17.263157894736835,25.00579284587467,0.023171383498677756
27.0,PI257600,4,42,2,0.450698531597,2.21901924646,1.67339067371,1.7568590052400002,2017-05-16 12:00:00,15,27.97169574288518,3.598873121796968,26.0,3.7037037037037037,27.00207129104061,0.007671448298559632
24.0,PI276837,4,44,8,0.4183431952660001,3.41556334951,2.295312839,1.80412837885,2017-05-16 12:00:00,15,22.607642013941653,5.801491608576444,20.68421052631579,13.815789473684204,24.00246089049995,0.010253710416459802
16.0,PI569454,4,34,2,0.424590830538,3.32180364295,2.1474796539,1.8382798794,2017-05-16 12:00:00,15,14.988661585161992,6.320865092737549,16.2,1.2499999999999956,16.003974142949367,0.024838393433546102
21.0,PI152816,4,29,2,0.461157024793,2.14136206523,1.68052001584,1.69604414476,2017-05-16 12:00:00,15,24.67567666701584,17.503222223884947,20.166666666666668,3.9682539682539626,21.005168137026356,0.024610176315980375
12.0,PI576399,4,11,2,0.439170843776,3.0067060278500004,2.1278010162400003,1.7598400185599998,2017-05-16 12:00:00,15,15.05870500566817,25.489208380568083,16.2,34.99999999999999,12.00493824399445,0.041152033287087754
20.0,PI655978,4,50,9,0.40845713014,3.50130397312,2.15385095305,1.90612429135,2017-05-16 12:00:00,15,20.81956854884318,4.097842744215896,20.68421052631579,3.421052631578956,20.004844286140848,0.024221430704240987
24.0,PI181083,4,50,2,0.429280181624,3.5160596966800006,2.35819841883,1.78594816478,2017-05-16 12:00:00,15,22.771914128587248,5.117024464219799,20.68421052631579,13.815789473684204,24.00501621000528,0.020900875022000776
17.0,PI533998,4,12,2,0.421652421652,3.90440058921,2.53631150517,1.8104248342,2017-05-16 12:00:00,15,20.02910068227792,17.81823930751718,16.2,4.705882352941181,17.005427024375532,0.03192367279724639
17.0,PI506069,4,43,12,0.438646405863,2.5739754989400003,1.83783626545,1.79587079551,2017-05-16 12:00:00,15,19.156526917420372,12.685452455413953,20.68421052631579,21.67182662538701,17.00549849533552,0.03234409020893819
