planter_seed_drop,seedling_emergence_rate,emergence_count,canopy_height,canopy_height_diff,leaf_angle_mean,leaf_angle_mean_slope,leaf_angle_chi,leaf_angle_chi_slope,leaf_angle_beta,leaf_angle_beta_slope,leaf_angle_alpha,leaf_angle_alpha_slope,plant_basal_tiller_number,stem_elongated_internodes_number_slope,canopy_cover,stand_count,stalk_diameter_minor_axis,stalk_diameter_major_axis,leaf_width,leaf_length,leaf_desiccation_present,aboveground_dry_biomass,range,column,decision_tree,linearRegression,gboost,abserror_gboost,cultivar
6.0,0.8132835820895522,56.50174129353233,154.0,15.5,0.42597734171733337,0.0020568382972116234,1.8922299552625,-0.006563073335355932,1.7424287315641669,-0.012565868189269282,2.710551691668333,-0.040293395468638186,3.477941176470588,0.2814889612544667,42.946153846153834,24.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,8921.0,11,3,9213.666666666666,18436.201527193887,9380.411890215486,5.149780184009483,PI655978
67.0,0.8132835820895522,56.50174129353233,190.0,4.083333333333333,0.39077471756116666,-0.0008722865538278858,2.0700971234233334,0.0065662383445842225,1.90723729775,-0.0034303263624316078,3.4692755971858333,0.01600245107639144,3.477941176470588,0.2814889612544667,34.9,27.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,18790.0,11,4,22788.425925925927,17557.831948675797,18862.088718395175,0.3836547014112534,PI180348
66.5,0.8132835820895522,56.50174129353233,195.0,11.083333333333336,0.4243247912828182,-8.498348082650693e-05,1.8977573813581816,0.003834870287631003,1.6399715290690908,-0.00534452862257251,2.393744418356364,-0.01810653129436345,3.477941176470588,0.2814889612544667,42.946153846153834,23.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,26280.0,11,5,26347.26966292135,26414.568738373808,26282.387152991883,0.009083534976725038,PI181083
66.5,0.8132835820895522,56.50174129353233,121.0,4.083333333333333,0.36749677347091664,-0.0008268021841541392,2.168731381745,0.004336323042750426,2.0299433725241665,-0.0028910681030741834,4.000305768214167,0.0025656476266779442,3.477941176470588,0.2814889612544667,21.6,24.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,11630.0,11,6,11855.0,13382.587148524806,11701.675022961292,0.6162942644994986,PI564163
74.0,0.8132835820895522,56.50174129353233,146.0,11.083333333333336,0.4045526753402,0.0004898289010103528,2.016089198116666,0.001541233813176015,1.8657149879753332,-0.01737090040541873,3.2465707328226667,-0.02902575548491575,3.477941176470588,0.2814889612544667,42.946153846153834,26.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,22080.0,11,9,26475.128205128207,18557.52551002962,22176.90716281457,0.43889113593554546,PI52606
62.5,0.8132835820895522,56.50174129353233,93.0,11.083333333333336,0.3817061400380769,-0.0009536319162344963,2.0951920042646157,0.005574040730493843,1.8901267883153845,-0.007907182899208264,3.4421724300953844,0.01056060371631862,3.477941176470588,0.2814889612544667,42.946153846153834,30.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,11030.0,11,11,11030.0,16857.766367953256,11300.22559769067,2.449914756941712,PI533792
73.5,0.8132835820895522,56.50174129353233,174.0,15.5,0.43835396424428574,0.0027466072235760946,1.8770683512092856,-0.0071535041258227435,1.5762619281178571,-0.03136918126811375,2.3278003026428573,-0.0754210169977873,3.477941176470588,0.2814889612544667,42.946153846153834,26.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,7179.0,11,14,21105.886597938144,20018.528841923588,8104.53081503375,12.892196894187904,PI535794
81.5,0.8132835820895522,56.50174129353233,197.0,15.5,0.4050882909418462,-0.0003706716657834025,1.9802389592669232,0.00482036281611715,2.0004874172484617,-0.008356202523587769,3.4508478752330767,-0.0036603580845239133,3.477941176470588,0.2814889612544667,42.946153846153834,29.5,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,23100.0,11,15,22788.425925925927,20859.557851248057,22775.750023845478,1.4036795504524775,PI535796
57.5,0.8132835820895522,56.50174129353233,135.0,24.5,0.391066415404,-0.0015961601971621671,2.080685124959286,0.012453047939984963,2.005128757875714,-0.008594904469521802,3.774719971715,0.01548953974615956,3.477941176470588,0.2814889612544667,42.946153846153834,26.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,2252.0,12,2,2252.0,18224.05991765627,3518.419772514471,56.235336257303324,PI533998
53.0,0.8132835820895522,56.50174129353233,188.0,15.5,0.454652651216,0.0002135081910703729,1.754914106243333,0.0021020038103452634,1.7927285858966666,-0.010100042432882785,2.278930823913333,-0.015305745065352063,3.477941176470588,0.2814889612544667,42.946153846153834,22.0,10.807857142857147,15.435047619047623,69.32420634920635,781.1185807656394,0.0,37320.0,12,3,26347.26966292135,23012.763883996246,35656.18208147368,4.458247370113402,PI253986
