cultivar_id,cultivar,season,range,column,absorbance_850,roll,PhiNO,PhiNPQ,absorbance_530,absorbance_605,absorbance_730,absorbance_880,absorbance_940,Fs,NPQt,qL,qP,RFd,SPAD_530,SPAD_605,SPAD_730,leaf_thickness,ambient_humidity,leaf_angle_clamp_position,pitch,proximal_air_temperature,FvP/FmP,leaf_temperature_differential,Phi2,relative_chlorophyll,FmPrime,FoPrime,LEF,SPAD_420,SPAD_650,SPAD_850,SPAD_880,light_intensity_PAR,leaf_temperature,date
6000000962,PI570254,4,16,14,0.39799999999999996,21.02,0.316,0.18100000000000002,1.08,1.3090000000000002,0.36,0.436,0.44799999999999995,6263.5,0.5720000000000001,0.326,0.665,1.012,63.2,86.16,-8.83,0.83,57.35449200000001,24.38,12.64,32.23,0.7559999999999999,-0.55,0.503,47.42638623,12601.011999999999,3071.0,94.829,181.84,47.43,-4.97,-1.19,419.0,,2017-08-02 10:27:00
6000000962,PI570254,4,16,14,0.37799999999999995,18.14,0.319,0.265,1.089,1.301,0.35,0.41700000000000004,0.426,7186.0,0.8320000000000001,0.267,0.5720000000000001,0.7120000000000001,66.28,87.55,-7.56,0.12,56.955078,22.72,13.92,33.32,0.727,-2.85,0.41600000000000004,47.08986616,12298.954,3357.0,108.69,162.97,47.09,-4.79,-0.84,581.0,,2017-08-02 10:31:00
6000000208,PI651491,4,26,14,0.402,-33.81,0.262,0.258,1.054,1.262,0.326,0.426,0.444,4964.0,0.985,0.376,0.6759999999999999,0.924,60.98,81.84,-11.74,0.71,55.094727,34.9,9.23,33.360001000000004,0.711,-1.570001,0.48,45.17399618,9549.808,2761.0,112.149,178.87,45.17,-4.21,-1.77,519.0,,2017-08-02 10:35:00
6000000208,PI651491,4,26,14,0.385,-32.72,0.262,0.321,1.15,1.381,0.354,0.41700000000000004,0.425,5425.8,1.224,0.326,0.607,0.715,72.51,95.62,-7.03,0.53,56.499023,34.03,9.92,33.790001000000004,0.687,-2.9200009999999996,0.41700000000000004,50.93690249,9304.896999999999,2913.0,140.887,190.18,50.94,-3.98,-0.81,751.0,,2017-08-02 10:37:00
6000000851,PI511355,4,26,15,0.39,29.16,0.263,0.373,1.127,1.357,0.376,0.434,0.436,6099.6,1.416,0.28300000000000003,0.544,0.573,69.16,92.18,-5.99,0.11,51.045898,32.98,16.14,34.549999,0.669,-2.3099990000000004,0.364,46.86424474,9592.064,3176.0,117.476,162.94,46.86,-4.61,-0.19,717.0,,2017-08-02 10:47:00
6000000208,PI651491,4,26,14,0.419,-38.56,0.249,0.349,0.919,1.065,0.325,0.449,0.457,6034.4,1.3980000000000001,0.33,0.6,0.6729999999999999,46.22,60.86,-13.11,0.57,52.235352,38.61,2.21,34.16,0.6709999999999999,-2.91,0.402,33.08604207,10093.4,3325.0,118.711,139.66,33.09,-3.76,-0.72,656.0,,2017-08-02 10:43:00
6000000208,PI651491,4,26,14,0.423,-11.52,0.223,0.249,1.159,1.379,0.373,0.452,0.466,3824.9,1.1159999999999999,0.485,0.757,1.1179999999999999,69.34,91.32,-9.26,1.04,52.992188,13.95,7.93,34.220001,0.698,-1.540001,0.528,48.54684512,8102.241,2450.0,143.964,185.24,48.55,-4.3,-1.44,606.0,,2017-08-02 10:41:00
6000000208,PI651491,4,26,14,0.401,-27.92,0.24100000000000002,0.29,0.983,1.14,0.331,0.44,0.442,4801.9,1.208,0.4,0.6809999999999999,0.883,54.09,69.76,-11.09,0.54,52.881836,28.74,7.13,34.330002,0.6890000000000001,-3.220002,0.469,38.26386233,9042.779,2817.0,127.89,163.73,38.26,-4.11,-0.26,606.0,,2017-08-02 10:39:00
6000000851,PI511355,4,26,15,0.391,32.71,0.235,0.268,1.2209999999999999,1.4909999999999999,0.391,0.435,0.439,5037.0,1.141,0.434,0.716,0.9890000000000001,78.2,105.18,-4.82,0.16,47.648438,33.55,7.88,34.790001000000004,0.695,-2.800001,0.49700000000000005,53.03632887,10019.668,3056.0,78.547,178.82,53.04,-4.77,-0.37,351.0,,2017-08-02 10:50:00
6000000851,PI511355,4,26,15,0.401,-27.98,0.275,0.373,1.0290000000000001,1.182,0.35,0.445,0.44799999999999995,6048.1,1.357,0.262,0.522,0.5429999999999999,58.09,73.39,-9.77,0.1,47.435547,33.62,19.46,35.110001000000004,0.674,-3.180001,0.35200000000000004,39.75143403,9333.032,3039.0,106.434,152.28,39.75,-4.65,-0.29,672.0,,2017-08-02 10:54:00
6000000851,PI511355,4,26,15,0.405,-43.67,0.275,0.222,1.146,1.3880000000000001,0.382,0.447,0.45299999999999996,5310.7,0.8059999999999999,0.374,0.6890000000000001,1.01,69.35,93.51,-7.12,0.13,49.208984,49.5,26.12,35.099998,0.73,-2.779998,0.503,48.95602294,10676.073,2884.0,108.32700000000001,183.49,48.96,-4.81,-0.63,479.0,,2017-08-02 10:57:00
6000000962,PI570254,4,45,4,0.39899999999999997,-5.38,0.28800000000000003,0.32299999999999995,1.208,1.464,0.39,0.444,0.446,6091.5,1.122,0.276,0.557,0.635,76.25,101.78,-5.53,0.13,48.675781,6.05,2.77,36.439999,0.6970000000000001,-6.3899989999999995,0.38799999999999996,51.47227533,9961.33,3019.0,139.504,173.65,51.47,-4.69,-0.14,798.0,303.2,2017-08-02 11:28:00
6000000962,PI570254,4,45,4,0.39,-0.86,0.27,0.409,1.2109999999999999,1.464,0.38299999999999995,0.434,0.435,6045.3,1.5119999999999998,0.243,0.486,0.473,77.63,102.97,-5.17,0.12,48.285156,7.15,7.1,36.360001000000004,0.66,-6.070001,0.321,52.43212237,8902.103000000001,3025.0,141.955,177.39,52.43,-4.44,0.0,983.0,,2017-08-02 11:30:00
6000000962,PI570254,4,16,14,0.406,-69.88,0.239,0.392,1.1340000000000001,1.355,0.36700000000000005,0.45,0.452,5517.1,1.636,0.316,0.568,0.585,68.23,90.23,-8.56,0.14,47.107422,69.89,-1.92,36.639998999999996,0.649,-4.3899989999999995,0.369,46.791587,8743.516,3066.0,135.335,165.76,46.79,-4.64,-0.22,815.0,,2017-08-02 11:43:00
6000000962,PI570254,4,16,14,0.405,-3.85,0.23399999999999999,0.461,1.176,1.4069999999999998,0.384,0.45299999999999996,0.451,5462.2,1.9680000000000002,0.268,0.491,0.44,72.45,95.55,-6.79,0.16,46.303711,5.61,4.08,36.939999,0.622,-4.749999,0.306,49.10898662,7865.36,2975.0,149.866,172.96,49.11,-4.63,0.17,1090.0,,2017-08-02 11:44:00
6000000962,PI570254,4,16,14,0.413,8.06,0.256,0.446,1.1179999999999999,1.3780000000000001,0.373,0.45799999999999996,0.457,5711.5,1.7380000000000002,0.23800000000000002,0.465,0.425,66.08,92.01,-8.43,0.37,44.773438,8.38,2.3,37.130001,0.6409999999999999,-5.580001,0.298,46.22944551,8137.61,2925.0,172.53099999999998,163.59,46.23,-4.49,0.02,1286.0,,2017-08-02 11:47:00
6000000851,PI511355,4,26,15,0.42100000000000004,-66.43,0.318,0.423,1.2590000000000001,1.5290000000000001,0.418,0.46,0.46399999999999997,7445.0,1.331,0.16699999999999998,0.382,0.349,79.51,106.51,-4.6,0.16,43.960938,68.48,23.46,36.900002,0.677,-4.130001999999999,0.259,52.60803059,10041.368,3246.0,121.59299999999999,174.21,52.61,-4.27,-0.37,1045.0,,2017-08-02 11:50:00
6000000851,PI511355,4,26,15,0.409,-48.26,0.243,0.265,1.156,1.3969999999999998,0.38299999999999995,0.455,0.456,4841.0,1.091,0.41600000000000004,0.703,0.97,70.01,94.11,-7.31,0.12,43.255859,52.47,23.8,36.73,0.7,-5.14,0.49200000000000005,49.09751434,9536.185,2860.0,127.84100000000001,180.61,49.1,-4.7,-0.07,577.0,,2017-08-02 11:52:00
6000000208,PI651491,4,26,14,0.405,-59.46,0.244,0.297,1.183,1.369,0.371,0.45,0.452,5414.8,1.219,0.386,0.6679999999999999,0.848,73.08,91.67,-8.1,0.15,42.733398,63.06,26.94,37.310001,0.687,-4.200001,0.45899999999999996,47.812619500000004,10007.918,3129.0,105.329,169.88,47.81,-4.71,-0.2,510.0,306.26,2017-08-02 12:18:00
